epoch,test_acc_before_rounding,test_acc,regularization_loss,model_sparsity,lr
0,29.6,29.6,4.14446496963501,48.051696380657084,0.1
1,36.56,36.56,3.837576389312744,45.990847295927495,0.09998903417374227
2,38.55,38.55,3.5540413856506348,43.838694770735195,0.09995614150494292
3,40.42,40.42,3.2927565574645996,41.55797209468726,0.09990133642141358
4,42.37,42.37,3.0522308349609375,39.23849203983066,0.09982464296247522
5,51.55,51.55,2.8302018642425537,36.7863424959752,0.09972609476841367
6,53.16,53.16,2.6258704662323,34.251460855047405,0.0996057350657239
7,44.2,44.2,2.437499761581421,31.61185975791545,0.09946361664814941
8,52.26,52.26,2.2636301517486572,28.86977520720291,0.09929980185352524
9,52.33,52.33,2.1036999225616455,26.081479935603124,0.09911436253643444
10,51.95,51.95,1.9558947086334229,23.120267127780096,0.09890738003669028
11,54.57,54.57,1.8199888467788696,20.161662989684576,0.098678945143658
12,51.7,51.7,1.6951320171356201,17.1542394609743,0.09842915805643156
13,57.0,57.0,1.5802615880966187,14.164703953252639,0.09815812833988291
14,53.83,53.83,1.4753018617630005,11.255664539979726,0.09786597487660335
15,41.98,41.98,1.3797866106033325,8.581778069286267,0.09755282581475769
16,56.0,56.0,1.2937331199645996,6.288757378808658,0.09721881851187407
